Caption	Description	Identifying Number	Install Date	Install Location	Install State	Name	Package Cache	SKU Number	Vendor	Version
Google Talk Plugin	Google Talk Plugin	{EAC98582-5ED4-3BCA-BCD5-9E1A328BD7BE}		5	Google Talk Plugin	C:\Windows\Installer\355bbd8.msi		Google	3.15.2.12038
Microsoft Office 2007 Primary Interop Assemblies	Microsoft Office 2007 Primary Interop Assemblies	{50120000-1105-0000-0000-0000000FF1CE}		5	Microsoft Office 2007 Primary Interop Assemblies	C:\Windows\Installer\3ea18.msi		Microsoft Corporation	12.0.4518.1014
Compatibility Pack for the 2007 Office system	Compatibility Pack for the 2007 Office system	{90120000-0020-0409-0000-0000000FF1CE}		5	Compatibility Pack for the 2007 Office system	C:\Windows\Installer\3ea39.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Professional Plus 2007	Microsoft Office Professional Plus 2007	{90120000-0011-0000-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Professional Plus 2007	C:\Windows\Installer\61d01.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Save as PDF or XPS Add-in for 2007 Microsoft Office programs	Microsoft Save as PDF or XPS Add-in for 2007 Microsoft Office programs	{90120000-00B2-0409-0000-0000000FF1CE}		5	Microsoft Save as PDF or XPS Add-in for 2007 Microsoft Office programs	C:\Windows\Installer\a698dc.msi		Microsoft Corporation	12.0.4518.1014
Microsoft Office InfoPath MUI (English) 2007	Microsoft Office InfoPath MUI (English) 2007	{90120000-0044-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office InfoPath MUI (English) 2007	C:\Windows\Installer\61cc1.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Access MUI (English) 2007	Microsoft Office Access MUI (English) 2007	{90120000-0015-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Access MUI (English) 2007	C:\Windows\Installer\61cee.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Office Shared Setup Metadata MUI (English) 2007	{90120000-0115-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Shared Setup Metadata MUI (English) 2007	C:\Windows\Installer\61cad.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Excel MUI (English) 2007	Microsoft Office Excel MUI (English) 2007	{90120000-0016-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Excel MUI (English) 2007	C:\Windows\Installer\61cb2.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007	Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007	{90120000-0116-0409-1000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007	C:\Windows\Installer\61ccb.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Office Access Setup Metadata MUI (English) 2007	{90120000-0117-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Access Setup Metadata MUI (English) 2007	C:\Windows\Installer\61cf3.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office PowerPoint MUI (English) 2007	Microsoft Office PowerPoint MUI (English) 2007	{90120000-0018-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office PowerPoint MUI (English) 2007	C:\Windows\Installer\61cbc.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Publisher MUI (English) 2007	Microsoft Office Publisher MUI (English) 2007	{90120000-0019-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Publisher MUI (English) 2007	C:\Windows\Installer\61ce4.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Outlook MUI (English) 2007	Microsoft Office Outlook MUI (English) 2007	{90120000-001A-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Outlook MUI (English) 2007	C:\Windows\Installer\61cb7.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Office 64-bit Components 2007	Microsoft Office Office 64-bit Components 2007	{90120000-002A-0000-1000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Office 64-bit Components 2007	C:\Windows\Installer\61cf9.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Shared 64-bit MUI (English) 2007	Microsoft Office Shared 64-bit MUI (English) 2007	{90120000-002A-0409-1000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Shared 64-bit MUI (English) 2007	C:\Windows\Installer\61cc6.msi		Microsoft Corporation	12.0.6612.1000
Microsoft Office Word MUI (English) 2007	Microsoft Office Word MUI (English) 2007	{90120000-001B-0409-0000-0000000FF1CE}	C:\Program Files (x86)\Microsoft Office\	5	Microsoft Office Word MUI (English) 2007	C:\Windows\Installer\61ce9.msi		Microsoft Corporation	12.0.6612.1000
